Rental_state,Start,End,Revenue,Distance,duration_minute,revenue_minute,revenue_km,car_id,accum_distance,battery_left
RED,2017-01-12 08:25:35.319,2017-01-12 08:45:01.583,3.95,6,19.43773333333333,0.20321299465644146,0.6583333333333333,1,18,91.0
GREEN,2017-01-12 08:53:17.525,2017-01-12 09:03:35.851,0.0,0,10.305433333333333,0.0,0.0,1,18,91.0
RED,2017-01-12 09:21:28.396,2017-01-12 09:42:44.458,3.65,3,21.267699999999998,0.17162175505578883,1.2166666666666666,1,21,89.5
GREEN,2017-01-12 09:44:45.709,2017-01-12 15:24:01.184,0.0,0,339.25791666666663,0.0,0.0,1,21,89.5
RED,2017-01-12 15:24:46.677,2017-01-12 15:37:40.081,2.62,5,12.890066666666666,0.20325728855811453,0.524,1,26,87.0
GREEN,2017-01-12 15:46:36.366,2017-01-12 15:47:29.218,0.0,0,0.8808666666666666,0.0,0.0,1,26,87.0
RED,2017-01-12 15:49:07.857,2017-01-12 15:58:39.420,1.82,2,9.52605,0.1910550542984763,0.91,1,28,86.0
GREEN,2017-01-12 15:59:14.856,2017-01-12 15:59:18.246,0.0,0,0.0565,0.0,0.0,1,28,86.0
RED,2017-01-12 15:59:19.455,2017-01-12 16:16:58.824,3.55,5,17.65615,0.20106308566703385,0.71,1,33,83.5
RED,2017-01-12 16:18:45.666,2017-01-12 16:28:25.620,1.82,4,9.665899999999999,0.18829079547688268,0.455,1,37,81.5
GREEN,2017-01-12 16:28:41.629,2017-01-12 17:02:14.196,0.0,0,33.54278333333333,0.0,0.0,1,37,81.5
RED,2017-01-12 17:07:04.448,2017-01-12 17:14:14.338,1.82,2,7.164833333333333,0.25401846984112214,0.91,1,39,80.5
RED,2017-01-12 17:18:40.531,2017-01-12 17:29:38.075,2.22,4,10.959066666666667,0.20257199518207147,0.555,1,43,78.5
RED,2017-01-12 17:36:45.085,2017-01-12 17:39:42.714,0.61,1,2.9604833333333334,0.20604743594795893,0.61,1,44,78.0
